# type,x_m,y_m,z_m,yaw_deg
right,5.303300858899107,0.0,5.303300858899106,0.0
left,5.833487446705824,0.0,8.730430929176725,0.0
right,4.166776747647017,0.0,6.236022092269089,0.0
left,4.018176039833444,0.0,9.70073509136851,0.0
right,2.870125742738174,0.0,6.929096493834651,0.0
left,2.0484483811693477,0.0,10.29824544423392,0.0
right,1.4631774151209624,0.0,7.355889603024228,0.0
left,6.429395695523604e-16,0.0,10.5,0.0
right,4.592425496802575e-16,0.0,7.5,0.0
left,-2.048448381169346,0.0,10.29824544423392,0.0
right,-1.4631774151209616,0.0,7.355889603024228,0.0
left,-4.018176039833442,0.0,9.70073509136851,0.0
right,-2.870125742738173,0.0,6.929096493834651,0.0
left,-5.833487446705821,0.0,8.730430929176727,0.0
right,-4.166776747647015,0.0,6.236022092269091,0.0
left,-7.424621202458749,0.0,7.4246212024587495,0.0
right,-5.303300858899106,0.0,5.303300858899107,0.0
left,-8.730430929176727,0.0,5.833487446705822,0.0
right,-6.23602209226909,0.0,4.166776747647017,0.0
left,-9.70073509136851,0.0,4.018176039833444,0.0
right,-6.929096493834651,0.0,2.8701257427381743,0.0
left,-10.29824544423392,0.0,2.0484483811693504,0.0
right,-7.355889603024228,0.0,1.4631774151209647,0.0
left,-10.5,0.0,1.2858791391047208e-15,0.0
right,-7.5,0.0,9.18485099360515e-16,0.0
left,-10.29824544423392,0.0,-2.0484483811693477,0.0
right,-7.355889603024228,0.0,-1.4631774151209627,0.0
left,-9.700735091368513,0.0,-4.018176039833442,0.0
right,-6.929096493834652,0.0,-2.8701257427381726,0.0
left,-8.730430929176727,0.0,-5.833487446705821,0.0
right,-6.236022092269091,0.0,-4.166776747647015,0.0
left,-7.42462120245875,0.0,-7.424621202458749,0.0
right,-5.3033008588991075,0.0,-5.303300858899106,0.0
left,-5.833487446705822,0.0,-8.730430929176725,0.0
right,-4.166776747647017,0.0,-6.236022092269089,0.0
left,-4.018176039833449,0.0,-9.700735091368509,0.0
right,-2.8701257427381774,0.0,-6.929096493834649,0.0
left,-2.048448381169351,0.0,-10.298245444233919,0.0
right,-1.4631774151209649,0.0,-7.355889603024227,0.0
left,-1.9288187086570813e-15,0.0,-10.5,0.0
right,-1.3777276490407722e-15,0.0,-7.5,0.0
left,2.0484483811693472,0.0,-10.29824544423392,0.0
right,1.4631774151209622,0.0,-7.355889603024228,0.0
left,4.018176039833445,0.0,-9.700735091368509,0.0
right,2.8701257427381752,0.0,-6.92909649383465,0.0
left,5.83348744670582,0.0,-8.730430929176727,0.0
right,4.166776747647014,0.0,-6.236022092269091,0.0
left,7.424621202458747,0.0,-7.42462120245875,0.0
right,5.303300858899105,0.0,-5.3033008588991075,0.0
left,8.730430929176725,0.0,-5.833487446705822,0.0
right,6.236022092269089,0.0,-4.166776747647017,0.0
left,9.700735091368509,0.0,-4.018176039833449,0.0
right,6.929096493834649,0.0,-2.870125742738178,0.0
left,10.298245444233919,0.0,-2.0484483811693517,0.0
right,7.355889603024227,0.0,-1.4631774151209653,0.0
